group,dataset,dataset_id,scenario,property,aether_pass,veridns_pass,matches_aether,aether_errors,veridns_errors,oracle
files-100-500,vn.ua,files-100-500/vn.ua,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation,Aether
files-100-500,vn.ua,files-100-500/vn.ua,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation,Aether
files-100-500,vn.ua,files-100-500/vn.ua,CNAME_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,vn.ua,files-100-500/vn.ua,CNAME_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,vn.ua,files-100-500/vn.ua,CNAME_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,vn.ua,files-100-500/vn.ua,CNAME_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,vn.ua,files-100-500/vn.ua,CNAME_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,vn.ua,files-100-500/vn.ua,CNAME_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,voxcdn.com,files-100-500/voxcdn.com,NS_UPDATE,hops,True,True,True,lame_delegation|rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,voxcdn.com,files-100-500/voxcdn.com,NS_UPDATE,rewrites,False,True,False,lame_delegation|rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,voxcdn.com,files-100-500/voxcdn.com,NS_UPDATE,lame_delegation,False,False,True,lame_delegation|rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,voxcdn.com,files-100-500/voxcdn.com,NS_UPDATE,rewrite_blackholing,True,False,False,lame_delegation|rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,voxcdn.com,files-100-500/voxcdn.com,NS_UPDATE,rewrite_loop,True,True,True,lame_delegation|rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,voxcdn.com,files-100-500/voxcdn.com,NS_UPDATE,delegation_consistency,True,True,True,lame_delegation|rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,A_ADD,hops,True,True,True,,,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,A_ADD,rewrites,True,True,True,,,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,A_ADD,lame_delegation,True,True,True,,,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,A_ADD,rewrite_blackholing,True,True,True,,,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,A_ADD,rewrite_loop,True,True,True,,,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,A_ADD,delegation_consistency,True,True,True,,,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,A_UPDATE,hops,True,True,True,,,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,A_UPDATE,rewrites,True,True,True,,,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,A_UPDATE,lame_delegation,True,True,True,,,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,A_UPDATE,rewrite_loop,True,True,True,,,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,A_UPDATE,delegation_consistency,True,True,True,,,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,NS_UPDATE,hops,True,True,True,,lame_delegation,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,NS_UPDATE,rewrites,True,True,True,,lame_delegation,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,NS_UPDATE,rewrite_blackholing,True,True,True,,lame_delegation,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,CNAME_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,CNAME_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,CNAME_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,CNAME_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,CNAME_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,CNAME_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,A_ADD,hops,True,True,True,,,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,A_ADD,rewrites,True,True,True,,,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,A_ADD,lame_delegation,True,True,True,,,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,A_ADD,rewrite_blackholing,True,True,True,,,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,A_ADD,rewrite_loop,True,True,True,,,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,A_ADD,delegation_consistency,True,True,True,,,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,A_UPDATE,hops,True,True,True,,,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,A_UPDATE,rewrites,True,True,True,,,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,A_UPDATE,lame_delegation,True,True,True,,,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,A_UPDATE,rewrite_loop,True,True,True,,,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,A_UPDATE,delegation_consistency,True,True,True,,,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,NS_UPDATE,hops,True,True,True,rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,NS_UPDATE,rewrites,False,True,False,rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,NS_UPDATE,lame_delegation,True,False,False,rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,NS_UPDATE,rewrite_blackholing,True,False,False,rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,NS_UPDATE,rewrite_loop,True,True,True,rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,NS_UPDATE,delegation_consistency,True,True,True,rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,CNAME_UPDATE,hops,True,True,True,rewrites,rewrite_blackholing,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,CNAME_UPDATE,rewrites,False,True,False,rewrites,rewrite_blackholing,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,CNAME_UPDATE,lame_delegation,True,True,True,rewrites,rewrite_blackholing,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,CNAME_UPDATE,rewrite_blackholing,True,False,False,rewrites,rewrite_blackholing,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,CNAME_UPDATE,rewrite_loop,True,True,True,rewrites,rewrite_blackholing,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,CNAME_UPDATE,delegation_consistency,True,True,True,rewrites,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,A_ADD,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,A_ADD,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,A_ADD,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,A_ADD,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,A_ADD,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,A_ADD,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,A_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,A_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,A_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,A_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,A_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,A_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,NS_UPDATE,hops,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,NS_UPDATE,rewrites,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation|rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,NS_UPDATE,rewrite_blackholing,True,False,False,,lame_delegation|rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,CNAME_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,CNAME_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,CNAME_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,CNAME_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,CNAME_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,wa.gov,files-100-500/wa.gov,CNAME_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_ADD,hops,True,True,True,,,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_ADD,rewrites,True,True,True,,,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_ADD,lame_delegation,True,True,True,,,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_ADD,rewrite_blackholing,True,True,True,,,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_ADD,rewrite_loop,True,True,True,,,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_ADD,delegation_consistency,True,True,True,,,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_UPDATE,hops,True,True,True,,,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_UPDATE,rewrites,True,True,True,,,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_UPDATE,lame_delegation,True,True,True,,,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_UPDATE,rewrite_loop,True,True,True,,,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_UPDATE,delegation_consistency,True,True,True,,,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,NS_UPDATE,hops,True,True,True,,lame_delegation,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,NS_UPDATE,rewrites,True,True,True,,lame_delegation,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,NS_UPDATE,rewrite_blackholing,True,True,True,,lame_delegation,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation,Aether
files-100-500,warriorhall.com,files-100-500/warriorhall.com,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_ADD,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_ADD,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_ADD,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_ADD,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_ADD,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_ADD,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,NS_UPDATE,hops,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,NS_UPDATE,rewrites,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation|rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,NS_UPDATE,rewrite_blackholing,True,False,False,,lame_delegation|rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,CNAME_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,CNAME_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,CNAME_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,CNAME_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,CNAME_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,warszawa.pl,files-100-500/warszawa.pl,CNAME_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,A_ADD,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,A_ADD,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,A_ADD,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,A_ADD,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,A_ADD,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,A_ADD,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,A_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,A_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,A_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,A_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,A_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,A_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,NS_UPDATE,hops,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,NS_UPDATE,rewrites,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation|rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,NS_UPDATE,rewrite_blackholing,True,False,False,,lame_delegation|rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,CNAME_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,CNAME_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,CNAME_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,CNAME_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,CNAME_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,washington.edu,files-100-500/washington.edu,CNAME_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,wayport.net,files-100-500/wayport.net,A_ADD,hops,True,True,True,,,Aether
files-100-500,wayport.net,files-100-500/wayport.net,A_ADD,rewrites,True,True,True,,,Aether
files-100-500,wayport.net,files-100-500/wayport.net,A_ADD,lame_delegation,True,True,True,,,Aether
files-100-500,wayport.net,files-100-500/wayport.net,A_ADD,rewrite_blackholing,True,True,True,,,Aether
files-100-500,wayport.net,files-100-500/wayport.net,A_ADD,rewrite_loop,True,True,True,,,Aether
files-100-500,wayport.net,files-100-500/wayport.net,A_ADD,delegation_consistency,True,True,True,,,Aether
files-100-500,wayport.net,files-100-500/wayport.net,A_UPDATE,hops,True,True,True,,,Aether
files-100-500,wayport.net,files-100-500/wayport.net,A_UPDATE,rewrites,True,True,True,,,Aether
files-100-500,wayport.net,files-100-500/wayport.net,A_UPDATE,lame_delegation,True,True,True,,,Aether
files-100-500,wayport.net,files-100-500/wayport.net,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
files-100-500,wayport.net,files-100-500/wayport.net,A_UPDATE,rewrite_loop,True,True,True,,,Aether
files-100-500,wayport.net,files-100-500/wayport.net,A_UPDATE,delegation_consistency,True,True,True,,,Aether
files-100-500,wayport.net,files-100-500/wayport.net,NS_UPDATE,hops,True,True,True,,lame_delegation,Aether
files-100-500,wayport.net,files-100-500/wayport.net,NS_UPDATE,rewrites,True,True,True,,lame_delegation,Aether
files-100-500,wayport.net,files-100-500/wayport.net,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
files-100-500,wayport.net,files-100-500/wayport.net,NS_UPDATE,rewrite_blackholing,True,True,True,,lame_delegation,Aether
files-100-500,wayport.net,files-100-500/wayport.net,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation,Aether
files-100-500,wayport.net,files-100-500/wayport.net,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation,Aether
files-100-500,wayport.net,files-100-500/wayport.net,CNAME_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,wayport.net,files-100-500/wayport.net,CNAME_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,wayport.net,files-100-500/wayport.net,CNAME_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,wayport.net,files-100-500/wayport.net,CNAME_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,wayport.net,files-100-500/wayport.net,CNAME_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,wayport.net,files-100-500/wayport.net,CNAME_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,A_ADD,hops,True,True,True,,,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,A_ADD,rewrites,True,True,True,,,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,A_ADD,lame_delegation,True,True,True,,,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,A_ADD,rewrite_blackholing,True,True,True,,,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,A_ADD,rewrite_loop,True,True,True,,,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,A_ADD,delegation_consistency,True,True,True,,,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,A_UPDATE,hops,True,True,True,,,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,A_UPDATE,rewrites,True,True,True,,,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,A_UPDATE,lame_delegation,True,True,True,,,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,A_UPDATE,rewrite_loop,True,True,True,,,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,A_UPDATE,delegation_consistency,True,True,True,,,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,NS_UPDATE,hops,True,True,True,,lame_delegation,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,NS_UPDATE,rewrites,True,True,True,,lame_delegation,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,NS_UPDATE,rewrite_blackholing,True,True,True,,lame_delegation,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation,Aether
files-100-500,wblogin.com,files-100-500/wblogin.com,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,A_ADD,hops,True,True,True,,,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,A_ADD,rewrites,True,True,True,,,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,A_ADD,lame_delegation,True,True,True,,,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,A_ADD,rewrite_blackholing,True,True,True,,,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,A_ADD,rewrite_loop,True,True,True,,,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,A_ADD,delegation_consistency,True,True,True,,,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,A_UPDATE,hops,True,True,True,,,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,A_UPDATE,rewrites,True,True,True,,,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,A_UPDATE,lame_delegation,True,True,True,,,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,A_UPDATE,rewrite_loop,True,True,True,,,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,A_UPDATE,delegation_consistency,True,True,True,,,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,NS_UPDATE,hops,True,True,True,,lame_delegation,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,NS_UPDATE,rewrites,True,True,True,,lame_delegation,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,NS_UPDATE,rewrite_blackholing,True,True,True,,lame_delegation,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation,Aether
files-100-500,wcpss.net,files-100-500/wcpss.net,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation,Aether
files-100-500,webd.pl,files-100-500/webd.pl,A_ADD,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,A_ADD,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,A_ADD,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,A_ADD,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,A_ADD,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,A_ADD,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,A_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,A_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,A_UPDATE,lame_delegation,True,True,True,,rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,A_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,A_UPDATE,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,A_UPDATE,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,NS_UPDATE,hops,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,NS_UPDATE,rewrites,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation|rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,NS_UPDATE,rewrite_blackholing,True,False,False,,lame_delegation|rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation|rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,CNAME_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
files-100-500,webd.pl,files-100-500/webd.pl,CNAME_UPDATE,rewrites,True,True,True,,rewrite_blackholing,Aether
